Tool	Platform	Code	Description	License	Added	Updated
Nebulosa	R	https://github.com/powellgenomicslab/Nebulosa	Single-Cell Data Visualisation Using Kernel Gene-Weighted Density Estimation	GPL-3.0	2020-10-15	2020-10-30
NetImpute	R	https://github.com/yiangcs001/NetImpute	NetImpute performs identification of cell types from scRNA-seq data by interpreting multiple types of biological networks. Net library uses a static method to detect the noise data items in scRNA-seq data and develop a new imputation model for estimating real values of data nois by integrating the PPI network and gene pathways. Based on data imputed by multiple types of biological networks, an integrated approach is used to identify the cell types from scRNA-seq data.	GPL-3.0	2020-06-18	2020-06-19
netNMF-sc	Python	https://github.com/raphael-group/netNMF-sc	netNMF-sc: A network regularization algorithm for dimensionality reduction and imputation of single-cell expression data	BSD-3-Clause	2019-02-11	2019-10-02
netSmooth	R	https://github.com/BIMSBbioinfo/netSmooth	A Network smoothing based method for single cell RNA-seq	GPL-3.0	2017-12-20	2017-12-20
netsne	C++	https://github.com/hhcho/netsne	net-SNE, a neural network-based visualization tool developed for single cell RNA sequencing datasets.	MIT	2018-06-27	2018-06-27
NetworkInference	Julia	https://github.com/Tchanders/NetworkInference.jl	NetworkInference is a package for inferring (undirected) networks, given a set of measurements for each node.	MIT	2017-10-17	2017-10-17
NeuCA	R	https://github.com/haoharryfeng/NeuCA	NEUral-network based Cell Annotation	GPL-2.0	2021-10-02	2022-03-04
NewWave	R	https://github.com/fedeago/NewWave	A model designed for dimensionality reduction and batch effect removal for scRNA-seq data	GPL-3.0	2020-10-30	2021-08-08
nichenetr	R	https://github.com/saeyslab/nichenetr	NicheNet uses human or mouse gene expression data of interacting cells as input and combines this with a prior model that integrates existing knowledge on ligand-to-target signaling paths.	GPL-3.0	2019-12-16	2019-12-16
NICHES	R	https://github.com/msraredon/NICHES	NICHES is a simple but powerful computational toolset to analyze cell-cell signaling at the truly single-cell level	GPL-3.0	2022-02-04	2022-02-04
NIFA	R/C++	https://github.com/wgmao/NIFA	Non-negative Independent Factor Analysis (NIFA) simultaneously models uni- and multi-modal latent factors and can so isolate discrete cell-type identity and continuous pathway-level variations into separate components	NA	2020-02-13	2020-02-13
nimfa	Python/R	https://github.com/ccshao/nimfa	Nimfa is a Python module that implements many algorithms for nonnegative matrix factorization	BSD-3-Clause	2018-11-13	2018-11-13
Normalisr	Python	https://github.com/lingfeiwang/normalisr	Normalisr is a parameter-free normalization and statistical association testing framework that unifies single-cell differential expression, co-expression, and pooled single-cell CRISPR screen analyses with linear models	BSD-3-Clause	2021-11-05	2021-11-05
northstar	Python	https://github.com/northstaratlas/northstar	northstar is a Python package to identify cell types within single cell transcriptomics datasets. northstar's superpower is that it learns from cell atlases but still allows queer cells to make their own cluster if they want to.	MIT	2019-11-03	2019-11-03
novoSpaRc	Python	https://github.com/rajewsky-lab/novosparc	novoSpaRc - de novo Spatial Reconstruction of Single-Cell Gene Expression	BSD-3-Clause	2021-08-11	2021-08-11
NSForest	Python	https://github.com/JCVenterInstitute/NSForest	Necessary and Sufficient Forest (NS-Forest) for Cell Type Marker Determination from cell type clusters	MIT	2021-11-27	2021-11-27
OCAT	Python	https://github.com/bowang-lab/OCAT	OCAT (One Cell At a Time) provides a fast and memory-efficient framework for analyzing and integrating large-scale scRNA-seq data	GPL-3.0	2021-08-06	2022-03-04
ODEGRfinder	R	https://github.com/hmatsu1226/ODEGRfinder	A NMF-based approach to discover overlooked differentially expressed gene regions from single-cell RNA-seq data	MIT	2019-02-25	2019-02-25
OEFinder	R	https://github.com/lengning/OEFinder	Identify ordering effect genes in single cell RNA-seq data. OEFinder shiny impelemention depends on packages shiny, shinyFiles, gdata, and EBSeq.	NA	2016-09-08	2016-09-08
OGFSC	MATLAB	https://github.com/XZouProjects/OGFSC_matlab	Performs optimized gene filtering for single-cell RNA-seq data	NA	2018-12-13	2018-12-13
OmicInt	R	https://github.com/AusteKan/OmicInt	OmicInt is an R package developed for an in-depth exploration of significantly changed genes, gene expression patterns, and associated epigenetic features as well as miRNA environment	GPL-3.0	2021-12-17	2021-12-17
OnClass	Python	https://github.com/wangshenguiuc/OnClass	OnClass is a python package for single-cell cell type annotation. It uses the Cell Ontology to capture the cell type similarity.	MIT	2019-10-24	2021-09-24
OnlinePCA	Julia	https://github.com/rikenbit/OnlinePCA.jl	OnlinePCA.jl binarizes a CSV file, summarizes the data matrix and performs online-PCA functions for extremely large scale matrices	MIT	2019-05-31	2019-05-31
OpenVisuMap	DotNET	https://github.com/VisuMap/OpenVisuMap	Open source modules for visualization related services inluding a GPU implementation of t-SNE	MIT	2020-08-20	2020-08-20
OscoNet	Python/R	https://github.com/alexisboukouvalas/OscoNet	Method to infer sinusoidal oscillations in single cell data	MIT	2020-09-10	2020-09-10
Oscope	R	NA	Oscope: a statistical pipeline for identifying oscillatory genes in unsynchronized single cell RNA-seq experiments.	Artistic-2.0	2016-09-09	2018-03-15
Ouija	R	https://github.com/kieranrcampbell/ouija	Incorporate prior information into single-cell trajectory (pseudotime) analyses using Bayesian nonlinear factor analysis.	GPL-3.0-or-later	2016-09-08	2018-06-27
ouijaflow	Python	https://github.com/kieranrcampbell/ouijaflow	ouijaflow implements the probabilistic single-cell pseudotime model Ouija in Edward and Tensorflow, allowing scalable inference on large single-cell datasets. Inference is performed using reparametrization gradient variational inference.	NA	2018-03-15	2018-06-27
Outrigger	Python	https://github.com/YeoLab/outrigger	Outrigger is a program to calculate alternative splicing scores of RNA-Seq data based on junction reads and a de novo, custom annotation created with a graph database, especially made for single-cell analyses.	BSD-3-Clause	2016-09-08	2017-07-16
pagoda2	R/C++	https://github.com/hms-dbmi/pagoda2	Single Cell Analysis and Differential Expression	GPL-3.0	2018-11-09	2021-01-29
Palantir	Python	https://github.com/dpeerlab/Palantir	Palantir is an algorithm to align cells along differentiation trajectories. Palantir models differentiation as a stochastic process where stem cells differentiate to terminally differentiated cells by a series of steps through a low dimensional phenotypic manifold.	GPL-2.0	2019-04-05	2020-03-12
Palo	R	https://github.com/Winnie09/Palo	Spatially-aware color palette optimization for single-cell and spatial data	MIT	2022-03-18	2022-03-18
Pamona	Python	https://github.com/caokai1073/Pamona	Manifold alignment for heterogeneous single-cell multi-omics data integration	MIT	2020-11-08	2021-08-27
Pando	R	https://github.com/quadbiolab/Pando	Pando leverages multi-modal single-cell measurements to infer gene regulatory networks using a flexible linear model-based framework	MIT	2021-09-03	2021-09-03
ParaDPMM	Matlab	https://github.com/tiehangd/Para_DPMM	Parallelized Inference for Single Cell Transcriptomic Clustering with Split Merge Sampling on DPMM Model	NA	2018-03-08	2018-09-07
PARC	Python	https://github.com/ShobiStassen/PARC	PARC, “phenotyping by accelerated refined community-partitioning” - is a fast, automated, combinatorial graph-based clustering approach that integrates hierarchical graph construction (HNSW) and data-driven graph-pruning with the new Leiden community-detection algorithm.	MIT	2019-09-17	2019-09-17
PBA	Python	https://github.com/AllonKleinLab/PBA	Population balance analysis (PBA) relates the observed states of a system to its steady-state dynamics by applying the law of population balance.	NA	2017-08-07	2017-08-07
PBLR	MATLAB	http://page.amss.ac.cn/shihua.zhang/software.html	PBLR: an accurate single cell RNA-seq data imputation tool considering cell heterogeneity and prior expression level of dropouts	NA	2018-11-13	2020-11-08
pcaReduce	R	https://github.com/JustinaZ/pcaReduce	Hierarchical clustering of single cell transcriptional profiles	GPL-2.0-or-later	2016-09-09	2016-09-09
pCMF	R	https://gitlab.inria.fr/gdurif/pCMF	A probabilistic Count Matrix Factorization (pCMF) approach for single-cell expression data analysis, that relies on a sparse Gamma-Poisson factor model.	GPL-2.0-or-later	2017-11-08	2017-11-08
pcqc	Python	https://github.com/RoussosLab/pcqc	Robustly Identifying the Most Important PC's for Clustering and Nonlinear Dimensionality Reduction	NA	2020-11-22	2020-11-22
pCreode	Python	https://github.com/KenLauLab/pCreode	The term creode was coined by C.H. Waddington, combining the Greek words for “necessary” and “path” to describe the cell state transitional trajectories that define cell fate specification. Our algorithm aims to identify consensus routes from relatively noisy single-cell data and thus we named this algorithm p- (putative) Creode.	GPL-2.0	2017-12-07	2021-06-28
peco	R	https://github.com/jhsiao999/peco	peco is an R package for predicting cell cycle progression in a continnum using scRNA-seq data.	GPL-3.0	2019-02-11	2021-06-28
Pegasus	Python	https://github.com/klarman-cell-observatory/pegasus	Pegasus is a tool for analyzing transcriptomes of millions of single cells	BSD-3-Clause	2020-08-06	2020-08-06
PercentMaxDiff	R	https://github.com/scottyler89/PercentMaxDiff	Percent Maximum Difference provides a metric that enables the measurement of how similar (PMD near 0) or different (PMD near 1) two batches are based just on clustering results	GPL-3.0	2021-11-27	2021-11-27
PHATE	Python/MATLAB/R	https://github.com/KrishnaswamyLab/PHATE	PHATE is a tool for visualizing high dimensional single-cell data with natural progressions or trajectories.	GPL-2.0	2017-11-20	2019-10-02
PhEMD	R	https://github.com/KrishnaswamyLab/phemd	PhEMD (phenotypic earth mover's distance) identifies axes of variation among multicellular biospecimens profiled at single-cell resolution.	NA	2021-01-25	2021-01-25
PhenoPath	R	https://github.com/kieranrcampbell/phenopath	PhenoPath learns genomic trajectories (pseudotimes) in the presence of heterogenous environmental and genetic backgrounds encoded as additional covariates and identifies interactions between the trajectories and covariates.	Apache-2.0	2017-07-16	2018-06-27
phiclust	R	https://github.com/semraulab/phiclust	A package to calculate clusterability in clusters of scRNA-seq data	GPL-3.0	2022-01-22	2022-01-22
PhitestR	R	https://github.com/Vivianstats/PhitestR	Phitest is a bioinformatics method developed for analyzing the heterogeneity of single-cell populations	GPL-3.0	2022-03-11	2022-03-11
PhylEx	C++	https://github.com/junseonghwan/PhylEx	Integrated analysis of bulk aDNA-seq and single cell RNA-seq data	NA	2021-02-19	2021-02-19
phyloRNA	R/Python	https://github.com/bioDS/phyloRNA	phyloRNA is an utility package that maps functionality of a commonly used software to easy building phylogenetic trees from scRNAseq data	MIT	2021-01-15	2021-01-15
PieParty	Python	https://github.com/harbourlab/PieParty	PieParty is a visualization tool allowing to represent every cell in single-cell sequencing plots (UMAP, tSNE, ect.) as a pie chart	NA	2020-09-10	2021-03-12
PIMseq	R	https://github.com/CenterForStatistics-UGent/PIMseq	Probabilistic index models for testing differential expression in gene expression data	GPL-2.0	2020-02-21	2020-02-21
pipeComp	R	https://github.com/plger/pipeComp	pipeComp is a simple framework to facilitate the comparison of pipelines involving various steps and parameters	GPL-3.0	2020-02-13	2021-06-28
PISCES	R	https://github.com/califano-lab/PISCES	The pipeline for Protein Activity Inference in Single Cells (PISCES) is a regulatory-network-based methdology for the analysis of single cell gene expression profiles	NA	2021-05-28	2021-05-28
PIVOT	R	https://github.com/qinzhu/PIVOT	PIVOT facilitates fast and interactive RNA-Seq data analysis and visualization.	Custom	2017-07-16	2018-03-14
pLDA	R/C++	https://github.com/wuxiaotiankevin/pLDA	The penalized Latent Dirichlet Allocation (pLDA) model to extract robust and interpretable biological information from single cell mRNA sequencing (scRNA-seq) data	Apache-2.0	2021-04-05	2021-04-05
pmVAE	Python	https://github.com/ratschlab/pmvae	pmVAE leverages biological prior information in the form of pathway gene sets to construct interpretable representations of single-cell data	MIT	2021-02-05	2021-02-05
PoissonUMIs	R	https://github.com/tallulandrews/PoissonUMIs	R package providing functions for fitting, analyzing and visualizing single-cell RNASeq data which has been quantified by counting UMIs while accounting for different sequencing depths/detection rates between cells.	GPL-2.0	2016-10-10	2017-09-25
Polaratio	R/C++/Python	https://github.com/dubai03nsr/Polaratio	Polaratio is a monotonic correlation metric that accounts for the magnitude of separation among observations	MIT	2021-02-05	2021-02-05
polyApipe	Python/R	https://github.com/swbioinf/polyapipe	polyApipe is a pipeline for examining Alternative PolyAdenylation (APA) from 10X Genomics single-cell RNA Sequencing	LGPL-2.1	2019-07-24	2019-07-24
PopAlign	python	https://github.com/thomsonlab/popalign	PopAlign constructs a compressed representation of single-cell data to identify subpopulations of cells within a heterogeneous mixture and tracks gene expression and cell abundance changes.	NA	2021-01-25	2021-01-25
popsicleR	R	https://github.com/bicciatolab/popsicleR	popsicleR is a R package that combines methods implemented in widely used pipelines to interactively perform all major pre-processing and QC steps of scRNA-seq data analysis	GPL-3.0	2022-04-01	2022-04-01
Portal	Python	https://github.com/YangLabHKUST/Portal	An efficient, accurate and flexible method for single-cell data integration	MIT	2021-11-20	2022-01-06
powerEQTL	R	https://github.com/sterding/powerEQTL	Flexible functions to calculate power, minimal sample size, or detectable minor allele frequency in both bulk tissue and single-cell eQTL analysis	GPL-2.0-or-later	2021-01-08	2021-01-08
POWSC	R	https://github.com/suke18/POWSC	Simulation, power evaluation, and sample size recommendation for single cell RNA-seq	GPL-1.0	2020-07-10	2021-05-21
powsimR	R	https://github.com/bvieth/powsimR	Power analysis for bulk and single cell RNA-seq experiments	Artistic-2.0	2017-03-20	2021-06-28
Pre-Phaser	Python/C++	https://github.com/ayurovsky/Pre-Phaser	Cell-Cycle Phase Detector for scRNA-seq	NA	2019-09-17	2019-09-17
PRESCIENT	Python	https://github.com/gifford-lab/prescient	PRESCIENT (Potential eneRgy undErlying Single Cell gradIENTs), a generative model for modeling single-cell time-series	MIT	2020-09-10	2021-06-04
ProjecTILs	R	https://github.com/carmonalab/ProjecTILs	Computational tool to project new scRNA-seq data into a reference map of T cells, allowing their direct comparison in a stable, annotated system of coordinates.	GPL-3.0	2020-07-03	2020-07-03
PROSSTT	Python	https://github.com/soedinglab/prosstt	PROSSTT (PRObabilistic Simulations of ScRNA-seq Tree-like Topologies) is a package with code for the simulation of scRNAseq data for dynamic processes such as cell differentiation.	GPL-3.0	2018-02-07	2019-05-17
protaccel	Python	https://github.com/pachterlab/GSP_2019	Infer kinetics from scRNA-seq/feature barcoding data	BSD-2-Clause	2020-03-03	2020-03-03
Pseudocell_Tracer	Python	https://github.com/akds/pseudocell	Infers trajectories in pseudospace rather than in pseudotime	MIT	2020-07-03	2021-05-14
pseudodynamics	MATLAB	https://github.com/theislab/pseudodynamics	Pseudodynamics provides a dynamic (time­ resolved) description of a population as a density over a cell state coordinate.	GPL-3.0	2017-11-21	2019-04-16
pseudoga	R	https://github.com/indranillab/pseudoga	Cell pseudotime reconstruction based on genetic algorithm	GPL-2.0-or-later	2021-07-16	2021-07-16
pseudogp	R	https://github.com/kieranrcampbell/pseudogp	pseudogp is an R package for Bayesian inference of Gaussian Process Latent Variable models learning pseudotimes from single-cell RNA-seq.	MIT	2016-09-09	2016-09-09
PseudotimeDE	R	https://github.com/SONGDONGYUAN1994/PseudotimeDE	Inference of differential gene expression along cell pseudotime with well-calibrated p-values from single-cell RNA sequencing data	MIT	2020-11-22	2020-11-22
PsiNorm	R	https://github.com/MatteoBlla/PsiNorm	The goal of PsiNorm is to normalize a raw count matrix of expression genes profiles thanks to the sample specific Pareto shape parameter	MIT	2021-04-12	2021-09-24
Psix	Python	https://github.com/lareaulab/Psix	Psix is a computational tool for identifying cell-state associated alternative splicing events in single cell RNA-seq (scRNA-seq) data	NA	2021-08-01	2021-08-01
psupertime	R	https://github.com/wmacnair/psupertime	psupertime is an R package which uses single cell RNAseq data, where the cells have labels following a known sequence (e.g. a time series), to identify a small number of genes which place cells in that known order	GPL-3.0	2022-04-01	2022-04-01
pyHSICLasso	Python	https://github.com/riken-aip/pyHSICLasso	pyHSICLasso is a package of the Hilbert Schmidt Independence Criterion Lasso (HSIC Lasso), which is a black box (nonlinear) feature selection method considering the nonlinear input and output relationship.	MIT	2019-02-01	2019-02-01
PyMINEr	Python	https://bitbucket.org/scottyler892/pyminer_release	PyMINEr automates advanced scRNA-seq analyses without coding	AGPL-3.0	2019-02-25	2019-02-25
pyNVR	Python	https://github.com/KenLauLab/NVR	Python implementation of NVR (neighborhood variance ratio) gene selection to select genes with local and monotonic variation	GPL-2.0	2018-12-01	2018-12-01
PySCUBA	Python	https://github.com/GGiecold/PySCUBA	"PySCUBA stands for ""Python for Single-cell Clustering Using Bifurcation Analysis"""	MIT	2021-08-11	2021-08-11
qSNE	MATLAB/R	https://bitbucket.org/anthakki/qsne	qSNE is a t-SNE implementation with potentially quadratic converge rate (vs. linear) and automatic perplexity tuning	BSD-2-Clause	2020-08-06	2020-08-06
quasildr	Python	https://github.com/jzthree/quasildr	Quasildr is a python library for quasilinear data representation methods	BSD-3-Clause-Clear	2020-04-14	2021-11-05
QUBIC2	C++	https://github.com/OSU-BMBL/QUBIC2	QUBIC2 is a novel biclustering algorithm for analyses of gene expression data from bulk and single-cell RNA-Sequencing.	NA	2019-09-17	2019-09-17
RaceID	R/C++	https://github.com/dgrun/RaceID3_StemID2_package	RaceID is a clustering algorithm for the identification of cell types from single-cell RNA-sequencing data. It was specifically designed for the detection of rare cells which correspond to outliers in conventional clustering methods.	GPL-3.0	2016-09-09	2021-04-16
RAFSIL	R	http://www.kostkalab.net/software.html	Implements a two-step procedure using feature construction and random forest based similarity learning for single cell RNA sequencing data.	GPL-2.0	2018-02-07	2018-07-18
RainDrop	C++/Python	https://gitlab.rlp.net/stnieble/raindrop	RainDrop is a classification system for creation of a gene-cell-count matrix out of droplet based single cell RNA read samples generated by 10xGenomics v2 protocols	GPL-3.0	2020-07-10	2020-07-10
Randomly	Python	https://github.com/RabadanLab/randomly	A Python package for denoising single-cell data using Random Matrix Theory	MIT	2020-05-14	2020-05-14
RankCorr	Python	https://github.com/ahsv/RankCorr	A marker selection method for scRNA-seq data based on rank correlation	NA	2020-11-08	2020-11-08
RayleighSelection	R/C++	https://github.com/CamaraLab/RayleighSelection	RayleighSelection is an R package for feature selection in topological spaces. Features are defined as differential forms on a simplicial complex and their significance is assesed through Rayleigh quotients.	MIT	2018-11-19	2018-11-19
RCA	R	https://github.com/GIS-SP-Group/RCA	RCA, short for Reference Component Analysis, is an R package for robust clustering analysis of single cell RNA sequencing data (scRNAseq).	MIT	2017-03-27	2017-03-27
rCASC	R/Docker	https://github.com/kendomaniac/rCASC	rCASC, Cluster Analysis of Single Cells	GPL-3.0	2018-11-14	2020-06-05
RCAv2	R	https://github.com/prabhakarlab/RCAv2	RCA (Reference Component Analysis) is a computational approach for robust cell type annotation of single cell RNA sequencing data (scRNAseq)	MIT	2021-02-26	2021-08-08
RcppML	R/C++	https://github.com/zdebruine/RcppML	RcppML is an R package for fast non-negative matrix factorization and divisive clustering using large sparse matrices	GPL-2.0	2021-09-03	2021-09-03
RCSL	R	https://github.com/QinglinMei/RCSL	RCSL is an R toolkit for single-cell clustering and trajectory analysis using single-cell RNA-seq data	GPL-3.0	2021-04-16	2021-05-21
ReadZS	Nextflow/Groovy/R/Python	https://github.com/salzmanlab/ReadZS	A bioinformatics best-practice analysis pipeline for The Read Z-score (ReadZS), a metric that summarizes the transcriptional state of a gene in a single cell	MIT	2021-10-08	2021-10-08
REBET	R	https://github.com/genemine/REBET	REBET, is a method for determining the number of cell clusters is based on gene expression profile	GPL-1.0	2021-06-25	2021-06-25
reCAT	R	https://github.com/tinglab/reCAT	reCAT is a modelling framework for unsynchronized single-cell transcriptome data that can reconstruct a high-resolution cell cycle time-series.	NA	2017-07-16	2017-07-16
RecursiveConsensusClustering	R	https://github.com/MSCTR/RecursiveConsensusClustering	RCC, an unsurpersived clustering algorithm for novel sub type discovery from bulk and single-cell transcriptomic data sets.	GPL-1.0	2020-07-27	2020-07-27
Red_Panda	Perl	https://github.com/adamcornish/red_panda	Red Panda employs the unique information found in scRNA-seq to increase accuracy of variant detection compared to software designed for bulk sequencing.	MIT	2020-01-18	2020-01-18
redPATH	R/C++	https://github.com/tinglab/redPATH	redPATH formulates the problem of pseudo temporal ordering into a Hamiltonian path problem and attempts to recover the pseudo development time in single-cell RNA-seq datasets	NA	2020-03-18	2020-03-18
RESCUE	R	https://github.com/seasamgo/rescue	Bootstrap imputation for scRNAseq data	GPL-2.0-or-later	2019-07-24	2020-07-23
Revelio	R	https://github.com/danielschw188/Revelio	The Revelio package is designed to extract cell cycle information from scRNA-seq experiments of cycling cells	NA	2021-06-25	2021-06-25
RgCop	R	https://github.com/Snehalikalall/RgCop	Regularized Copula based Feature Selection	NA	2021-11-29	2021-11-29
RGGC	MATLAB	https://github.com/zliu3/RGGC	Regularized Gaussian Graphical Clustering	NA	2021-03-05	2021-03-05
RNA-Bloom	Java	https://github.com/bcgsc/RNA-Bloom	RNA-Bloom is a fast and memory-efficient de novo transcript sequence assembler designed for scRNA-seq	GPL-3.0	2020-11-15	2020-11-15
RNA-combine	Python/Shell/R	https://github.com/dongxuemin666/RNA-combine	A toolkit for comprehensive analysis on multiple platform transcriptome data	MIT	2022-01-14	2022-01-14
RNA-Sieve	Python/Mathematica	https://github.com/songlab-cal/rna-sieve	RNA-Sieve is a method for the deconvolution of bulk cell samples via single-cell RNA expression data	GPL-3.0	2020-10-15	2021-07-27
robustSingleCell	R	https://github.com/asmagen/robustSingleCell	robustSingleCell is a pipeline designed to identify robust cell subpopulations using scRNAseq data and compare population compositions across tissues and experimental models via similarity analysis	MIT	2019-03-15	2021-06-28
ROGUE	R	https://github.com/PaulingLiu/ROGUE	ROGUE: an entropy-based universal metric for assessing the purity of single cell population	BSD-3-Clause	2019-11-03	2020-07-03
ROSeq	MATLAB	https://github.com/malaalam/ROSeq	ROSeq evaluates differential expression between two subpopulations of single cells by modeling the rank distribution of read counts for each gene	NA	2018-07-27	2018-07-27
ROSeq-R	R	https://github.com/krishan57gupta/ROSeq	Modeling expression ranks for noise-tolerant differential expression analysis of scRNA-Seq data	GPL-3.0	2021-03-12	2021-03-12
rpca	R	https://github.com/macieksk/rpca	RobustPCA: Decompose a Matrix into Low-Rank and Sparse Components, Truncated RobustPCA with L2 noise.	GPL-2.0-or-later	2019-05-08	2019-05-08
RSCORE	R	https://github.com/wycwycpku/RSCORE	RSCORE is an R package to explore single-cell RNA-seq data with the view of molecular networks	NA	2019-08-12	2021-09-24
Rsubread	R	NA	Alignment, quantification and analysis of second and third generation sequencing data	GPL-3.0	2020-04-29	2020-04-29
rSuperCT	R	https://github.com/weilin-genomics/rSuperCT	rSuperCT is the R version of SuperCT, implementing the supervised-learning framework for enhanced characterization of single-cell transcriptomic profiles	GPL-2.0-or-later	2020-09-24	2020-09-24
rusty_axe	Python/Rust	https://github.com/bbrener1/rusty_axe	Analyzing nested structure in data using unsupervised random forests	NA	2021-09-17	2021-09-24
ruvIIInb	R	https://github.com/limfuxing/ruvIIInb	RUV-III-NB, a statistical method that can be used to adjust counts for library size and batch effects	NA	2021-11-12	2021-11-12
RVAgene	Python	https://github.com/maclean-lab/RVAgene	RVAgene models gene expression dynamics in single-cell or bulk data	MIT	2020-11-15	2020-11-15
RZiMM	R	https://github.com/SkadiEye/RZiMM	RZiMM-scRNA, a regularized zero-inflated mixture model designed for sparse single-cell RNA-seq data with sample heterogeneity	GPL-2.0-or-later	2021-10-29	2021-10-29
SAFE	R	https://github.com/yycunc/SAFEclustering	SAFE (Single-cell Aggregated clustering From Ensemble): Cluster ensemble for single-cell RNA-seq data	NA	2017-11-21	2018-10-02
SAIC	R	https://github.com/xiweiwu/SAIC	Single cell RNA-seq analysis with iterative clustering (SAIC) is a method to identify subgroups and signature genes in single cell RNA-seq data.	LGPL-2.0-or-later	2017-10-10	2017-10-10
sake	R	https://github.com/naikai/sake	Single-cell RNA-Seq Analysis and Klustering Evaluation. The aim of sake is to provide a user-friendly tool for easy analysis of NGS Single-Cell transcriptomic data.	GPL-2.0-or-later	2016-10-10	2016-10-10
salmon	C++	https://github.com/COMBINE-lab/salmon	Salmon produces transcript-level quantification estimates for RNA-seq data. It includes the Alevin pipeline for quantifying droplet scRNA-seq.	GPL-3.0	2018-06-08	2020-04-14
SAM	Python	https://github.com/atarashansky/self-assembling-manifold	The self-assembling manifold (SAM) algorithm, an iterative soft feature selection strategy to quantify gene relevance and improve dimensionality reduction.	MIT	2019-11-03	2021-06-28
SampleQC	R/C++	https://github.com/wmacnair/sampleqc	SampleQC is an R package for robust multivariate, multi-celltype, multi-sample quality control for single cell RNA-seq	MIT	2020-11-15	2021-09-03
SAMstrt	R	https://github.com/shka/R-SAMstrt	Statistical test for differential expression in single-celltranscriptome with spike-in normalization	LGPL-3.0	2016-09-09	2016-09-09
Sanity	C++	https://github.com/jmbreda/Sanity	Sampling Noise based Inference of Transcription ActivitY : Filtering of Poison noise on a single-cell RNA-seq UMI count matrix	GPL-3.0	2020-01-02	2021-05-07
SASCRiP	Python/R	https://github.com/Darisia/SASCRiP	Sequencing Analysis of Single-Cell RNA in Python (SASCRiP) is a python package with wrapper functions that use the widely used Seurat and BUStools to perform single-cell RNA sequencing data pre-processing and visualisation	AGPL-3.0	2022-03-04	2022-03-04
satuRn	R	https://github.com/statOmics/satuRn	Scalable Analysis of Differential Transcript Usage for Bulk and Single-Cell RNA-sequencing Applications	Artistic-2.0	2021-01-22	2021-05-21
SAUCIE	Python	https://github.com/KrishnaswamyLab/SAUCIE	SAUCIE (Sparse Autoencoder for Unsupervised Clustering, Imputation, and Embedding), simultaneously performs several key tasks for single-cell data analysis including 1) clustering, 2) batch correction, 3) visualization, and 4) denoising/imputation.	NA	2018-02-22	2019-11-03
SAVER	R	https://github.com/mohuangx/SAVER	SAVER (Single-cell Analysis Via Expression Recovery) implements a regularized regression prediction and empirical Bayes method to recover the true gene expression profile in noisy and sparse single-cell RNA-seq data.	GPL-2.0	2017-06-23	2018-06-27
SAVER-X	R	https://github.com/jingshuw/SAVERX	R package for transfer learning of scRNA-seq denoising.	GPL-2.0-or-later	2019-11-03	2020-07-31
SBDN	R	https://www.ucl.ac.uk/statistics/people/thomas-bartlett	Implements the sparse Bayesian dynamic network model	CC-BY-4.0	2018-03-01	2018-03-02
sc-compReg	R/C++	https://github.com/SUwonglab/sc-compReg	scCompReg (Single-Cell Comparative Regulatory analysis) is an R package that provides coupled clustering and joint embedding of scRNA-seq and scATAC-seq on one sample, and performs comparative gene regulatory analysis between two conditions	GPL-3.0	2021-08-11	2021-08-11
sc-jnmf	Python	https://github.com/agis09/sc-jnmf	Single-cell clustering method using multiple gene expression profiles	BSD-3-Clause	2020-10-15	2021-08-27
sc-REnF	R	https://github.com/Snehalikalall/sc-REnF	An Entropy Based Feature Selection- Application on Single cell RNA Sequence Data	NA	2020-10-15	2022-03-04
SC2P	R	https://github.com/haowulab/SC2P	SC2P provides functionalities for testing DE in two phases: (1) phase transition (difference in the probabilities of being expressed); and (2) magnitude tuning (difference in the levels of expression once the gene is on).	GPL-1.0	2018-05-01	2018-05-01
SC3	R	https://github.com/hemberg-lab/sc3	SC3 is an interactive tool for the unsupervised clustering of cells from single cell RNA-Seq experiments.	GPL-3.0	2016-09-08	2018-03-14
SC3s	Python	https://github.com/hemberg-lab/sc3s	Efficient scaling of single cell consensus clustering to millions of cells	GPL-3.0	2021-05-28	2021-05-28
SCA	Python	https://github.com/bendemeo/shannonca	Shannon Components Analysis (formerly called scalpel) is a dimensionality reduction technique for single-cell data which leverages mathematical information theory to identify biologically informative axes of variation in single-cell transcriptomic data	MIT	2021-01-22	2021-10-29
scAAnet	Python	https://github.com/AprilYuge/scAAnet_latest	Decompose an expression profile into a usage matrix and a GEP/archetype matrix	MIT	2021-09-24	2022-02-18
scACE	R	https://github.com/cuhklinlab/scACE	Model-based approach to the joint analysis of single-cell data on chromatin accessibility and gene expression	GPL-2.0	2020-03-17	2020-03-17
scAdapt	Python	https://github.com/zhoux85/scAdapt	scAdapt is a virtual adversarial domain adaptation network to transfer single cell labels between datasets with batch effects	MIT	2021-01-22	2021-11-27
scAEspy	Python	https://gitlab.com/cvejic-group/scaespy	scAEspy: a unifying tool based on autoencoders for the analysis of single-cell RNA sequencing data	GPL-3.0	2019-08-12	2021-03-12
SCAFE	Perl/R	https://github.com/chung-lab/scafe	SCAFE (Single Cell Analysis of Five-prime Ends) provides an end-to-end solution for processing of single cell 5’ end RNA-seq data	MIT	2021-04-05	2021-04-05
